[2023-04-28 11:27:32.180][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6416333666333667 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:32.310][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6307827589077589 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:32.455][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6162556193806193 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:32.631][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6153866966366967 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:32.760][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5911484348984349 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:32.916][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5885312604062604 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:33.093][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:218] Add  pair<87,79>
[2023-04-28 11:27:33.105][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:87, matched size:1
[2023-04-28 11:27:33.432][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6540053696303696 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:33.433][218814][info][APAPProjectThread.cpp:Run:382] process pair<87,79> finished.
[2023-04-28 11:27:33.544][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.581539294039294 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:33.593][218812][debug][GetImageThread.cpp:PushData:147] Load 10 images, time elapsed:0.090793s
[2023-04-28 11:27:33.659][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5839941308691309 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:33.793][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.55560168997669 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:33.939][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5300074925074925 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:34.083][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.516648976023976 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:34.191][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.4841710372960373 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:34.284][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.442742673992674 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:34.384][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.4441808191808192 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:34.491][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:218] Add  pair<97,87>
[2023-04-28 11:27:34.497][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:97, matched size:1
[2023-04-28 11:27:34.663][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6471008158508158 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:34.718][218814][info][APAPProjectThread.cpp:Run:382] process pair<97,87> finished.
[2023-04-28 11:27:34.778][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6124323593073593 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:34.860][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5902722277722278 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:34.940][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5730602730602731 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:34.952][218812][debug][GetImageThread.cpp:PushData:147] Load 11 images, time elapsed:0.098268s
[2023-04-28 11:27:35.022][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5730602730602731 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:35.086][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5394251581751581 > dOverlapRatioWithLastKF0,ignore this frame
